City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qaqortoq,60.7167,-46.0333,-0.91,98,100,5.16,GL,1734590524
1,kirensk,57.7853,108.1119,-19.19,98,25,0.1,RU,1734590525
2,shakargarh,32.2623,75.1668,19.48,20,0,2.96,PK,1734590526
3,puerto natales,-51.7236,-72.4875,4.56,93,100,8.75,CL,1734590528
4,tiksi,71.6872,128.8694,-25.46,98,43,3.1,RU,1734590529
5,waitangi,-43.9535,-176.5597,13.79,99,100,3.58,NZ,1734590530
6,iqaluit,63.7506,-68.5145,-26.84,68,40,1.03,CA,1734590531
7,yuzhno-kurilsk,44.0306,145.8556,-1.99,69,4,4.86,RU,1734590532
8,puerto ayora,-0.7393,-90.3518,22.02,93,32,3.25,EC,1734590533
9,ribeira grande,38.5167,-28.7,14.87,73,30,4.92,PT,1734590534
10,ilulissat,69.2167,-51.1,-10.99,85,100,9.26,GL,1734590536
11,port-aux-francais,-49.35,70.2167,5.15,80,32,14.49,TF,1734590537
12,rezina,47.7492,28.9622,3.55,90,100,3.59,MD,1734590538
13,adamstown,-25.066,-130.1015,21.43,61,0,3.47,PN,1734590539
14,santa cruz,-17.8,-63.1667,24.7,94,75,7.72,BO,1734590540
15,psebay,44.1234,40.8107,0.02,58,94,0.21,RU,1734590541
16,xiaoshi,41.2971,124.1209,-2.3,44,100,0.1,CN,1734590542
17,sitangkai,4.6628,119.3928,28.17,81,82,4.94,PH,1734590544
18,grytviken,-54.2811,-36.5092,3.39,99,100,2.17,GS,1734590545
19,saldanha,-33.0117,17.9442,20.03,70,2,4.48,ZA,1734590546
20,utrik,11.2278,169.8474,27.31,85,7,11.16,MH,1734590547
21,horta,38.5333,-28.6333,14.45,73,23,4.92,PT,1734590548
22,lubao,14.9167,120.55,30.84,56,93,4.11,PH,1734590549
23,olonkinbyen,70.9221,-8.7187,-3.75,63,5,4.51,SJ,1734590552
24,happy valley-goose bay,53.3168,-60.3315,-5.83,86,100,2.06,CA,1734590553
25,colchani,-20.3,-66.9333,8.85,23,100,3.01,BO,1734590554
26,margaret river,-33.95,115.0667,21.89,47,0,7.18,AU,1734590555
27,punta arenas,-53.15,-70.9167,5.06,81,75,10.29,CL,1734590440
28,bilibino,68.0546,166.4372,-27.66,88,18,1.64,RU,1734590557
29,carbonear,47.7332,-53.2148,4.1,87,100,4.84,CA,1734590558
30,atafu village,-8.5421,-172.5159,28.79,77,100,8.93,TK,1734590560
31,lihue,21.9789,-159.3672,23.77,88,0,0.0,US,1734590561
32,klaksvik,62.2266,-6.589,4.08,63,88,17.4,FO,1734590562
33,nouadhibou,20.931,-17.0347,18.99,37,100,8.23,MR,1734590563
34,edinburgh of the seven seas,-37.0676,-12.3116,14.12,65,100,7.62,SH,1734590564
35,yellowknife,62.456,-114.3525,-34.21,87,20,1.54,CA,1734590565
36,presidencia de la plaza,-27.0015,-59.8424,19.27,98,100,3.71,AR,1734590566
37,port mathurin,-19.6833,63.4167,25.35,71,0,7.54,MU,1734590568
38,jayapura,-2.5333,140.7,29.66,77,95,3.72,ID,1734590569
39,iwanai,42.9744,140.5089,-0.64,72,100,6.08,JP,1734590570
40,bredasdorp,-34.5322,20.0403,21.91,48,5,4.47,ZA,1734590571
41,college,64.8569,-147.8028,-18.08,77,75,2.06,US,1734590572
42,west island,-12.1568,96.8225,28.99,84,100,7.2,CC,1734590573
43,khandyga,62.6667,135.6,-30.81,98,100,0.46,RU,1734590574
44,blackmans bay,-43.0167,147.3167,19.07,62,100,2.23,AU,1734590576
45,vadso,70.0744,29.7487,-13.91,78,75,5.14,NO,1734590578
46,invercargill,-46.4,168.35,17.23,70,0,6.71,NZ,1734590579
47,bethel,41.3712,-73.414,6.05,88,100,0.45,US,1734590580
48,jiangyou,31.7667,104.7167,6.85,86,100,1.98,CN,1734590581
49,vorgashor,67.5833,63.95,-22.89,100,96,1.95,RU,1734590584
50,port elizabeth,-33.918,25.5701,21.84,81,75,3.09,ZA,1734590585
51,fereydun kenar,36.6864,52.5225,10.08,75,100,4.75,IR,1734590586
52,champerico,14.3,-91.9167,25.32,78,100,1.72,GT,1734590587
53,tazovsky,67.4667,78.7,-16.56,98,100,2.8,RU,1734590588
54,mostaganem,35.9311,0.0892,15.35,35,100,3.29,DZ,1734590589
55,dzhalil',55.0239,52.7358,-9.72,96,99,2.27,RU,1734590590
56,georgetown,5.4112,100.3354,30.97,62,20,4.12,MY,1734590592
57,sulak,43.2734,47.5146,4.22,62,6,13.65,RU,1734590593
58,bagnan,22.9242,88.14,26.82,27,94,3.04,IN,1734590594
59,carnarvon,-24.8667,113.6333,28.79,63,0,10.71,AU,1734590595
60,hammerfest,70.6634,23.6821,-7.75,79,0,1.03,NO,1734590596
61,machico,32.7,-16.7667,19.28,77,20,1.54,PT,1734590597
62,pau,43.4167,-0.5833,15.36,67,75,4.63,FR,1734590598
63,bartlesville,36.7473,-95.9808,-0.55,91,0,0.0,US,1734590600
